Date        West     East     DMI(=West-East)
1901:8:16:0 -0.569599 -0.0462426 -0.523356
1901:9:16:0 -0.799399 -0.166915 -0.632484
1901:10:16:0 -0.499166 -0.114012 -0.385154
1901:11:16:0 -0.559719 -0.0991969 -0.460522
1901:12:16:0 -0.479503 -0.0390658 -0.440438
1902:1:16:0 -0.32786 -0.0557257 -0.272135
1902:2:16:0 -0.268194 -0.00823846 -0.259956
1902:3:16:0 -0.288337 -0.22132 -0.0670163
1902:4:16:0 -0.100957 -0.35609 0.255132
1902:5:16:0 -0.191756 -0.361814 0.170057
1902:6:16:0 -0.106577 -0.227051 0.120474
1902:7:16:0 -0.198778 -0.441292 0.242514
1902:8:16:0 0.000403791 -0.631388 0.631792
1902:9:16:0 -0.122492 -0.712649 0.590157
1902:10:16:0 -0.108643 -0.25038 0.141737
1902:11:16:0 -0.247537 -0.465706 0.218169
1902:12:16:0 -0.205823 -0.163669 -0.042154
1903:1:16:0 -0.286931 0.00694907 -0.29388
1903:2:16:0 -0.307809 0.073754 -0.381563
1903:3:16:0 -0.276785 -0.0748038 -0.201981
1903:4:16:0 -0.398101 0.025211 -0.423312
1903:5:16:0 -0.271473 -0.229385 -0.0420877
1903:6:16:0 -0.161316 -0.0416108 -0.119705
1903:7:16:0 -0.354876 -0.0642596 -0.290616
1903:8:16:0 -0.211977 -0.0717917 -0.140185
1903:9:16:0 -0.38165 -0.0884637 -0.293186
1903:10:16:0 -0.690032 -0.0448091 -0.645223
1903:11:16:0 -0.676041 -0.325221 -0.35082
1903:12:16:0 -0.547315 -0.344612 -0.202703
1904:1:16:0 -0.679504 -0.649199 -0.0303053
1904:2:16:0 -0.404768 -0.362623 -0.0421449
1904:3:16:0 -0.50017 -0.453328 -0.0468419
1904:4:16:0 -0.461458 -0.63662 0.175162
1904:5:16:0 -0.466799 -0.431774 -0.0350246
1904:6:16:0 -0.386516 -0.319001 -0.0675144
1904:7:16:0 -0.273344 -0.313199 0.0398549
1904:8:16:0 -0.388038 -0.281394 -0.106644
1904:9:16:0 -0.47789 -0.192093 -0.285798
1904:10:16:0 -0.2231 -0.369292 0.146192
1904:11:16:0 -0.351186 -0.278243 -0.0729433
1904:12:16:0 -0.460999 -0.0544582 -0.406541
1905:1:16:0 -0.464841 -0.0585328 -0.406308
1905:2:16:0 -0.217869 -0.0321944 -0.185675
1905:3:16:0 -0.228278 0.0764815 -0.30476
1905:4:16:0 -0.533756 -0.270344 -0.263412
1905:5:16:0 -0.312632 -0.335756 0.0231245
1905:6:16:0 -0.127042 0.106967 -0.234009
1905:7:16:0 -0.175447 -0.225092 0.0496453
1905:8:16:0 -0.255646 -0.336129 0.0804837
1905:9:16:0 -0.00732639 -0.417336 0.41001
1905:10:16:0 -0.239587 -0.151069 -0.0885176
1905:11:16:0 -0.160122 0.0112365 -0.171358
1905:12:16:0 -0.114881 0.216535 -0.331416
1906:1:16:0 -0.200214 0.213408 -0.413622
1906:2:16:0 0.0447578 0.344605 -0.299847
